ticker,entry,exit
CXO,2016-02-22,2021-01-21
EXE,2025-03-24,infinity
ANDV,infinity,2018-10-01
JWN,infinity,2020-06-22
DAL,2013-09-10,infinity
BKR,2017-07-07,infinity
TRGP,2022-10-12,infinity
NCR,infinity,2007-10-01
CE,2018-12-24,2025-03-24
OI,2008-12-31,2016-12-02
EVRG,2018-06-05,infinity
PBCT,infinity,2022-04-04
X,infinity,2014-07-02
ACN,2011-07-05,infinity
GT,infinity,2019-02-27
GMCR,2014-03-21,2016-03-07
MFE,infinity,2011-02-28
BHI,infinity,2017-07-07
PCP,infinity,2016-02-01
FL,2016-04-04,2019-08-09
FSLR,2022-12-19,2017-03-20
VRTX,2013-09-20,infinity
REG,2017-03-02,infinity
MJN,2009-12-18,2017-06-19
CVH,infinity,2013-05-08
APOL,infinity,2013-07-01
WLTW,2016-01-05,infinity
BG,2023-03-15,infinity
PDCO,infinity,2018-03-19
BUD,1976-07-01,infinity
MHS,infinity,2012-04-03
LW,2018-12-03,infinity
SOLV,2024-04-01,infinity
HNG,infinity,1976-07-01
ETSY,2020-09-21,2024-09-23
FLR,infinity,2019-06-03
PAYC,2020-01-28,infinity
TEG,infinity,2015-07-01
KVUE,2023-08-25,infinity
TSCO,2014-01-24,infinity
IGT,infinity,2014-06-20
CPGX,2015-07-02,2016-07-05
DLPH,2012-12-21,infinity
FTI,2009-06-05,2021-02-12
TDY,2020-06-22,infinity
ZTS,2013-06-21,infinity
ICE,2007-09-26,infinity
WCG,2018-09-14,2020-01-28
SLG,2015-03-23,2021-03-22
HNZ,infinity,2013-06-06
LDW,infinity,1999-12-08
CDNS,2017-09-18,infinity
FOSL,2012-04-03,2016-01-05
CTLT,2020-09-21,2024-12-23
GHC,infinity,2014-09-20
HPE,2015-11-02,infinity
JEF,infinity,2019-09-26
DISH,2017-03-13,2023-06-20
MAA,2016-12-02,infinity
ALGN,2017-06-19,infinity
KSU,2013-05-23,2021-12-14
AVP,infinity,2015-03-23
FTNT,2018-10-11,infinity
BIG,infinity,2013-02-15
ARNC,2016-11-01,2020-04-01
QRVO,2015-06-11,2024-12-23
TGNA,infinity,2017-06-02
NKTR,2018-03-19,2019-10-03
XRAY,infinity,2024-04-03
CCK,infinity,2000-12-05
ACT,1999-04-12,infinity
GOOGL,2014-04-03,infinity
DPS,infinity,2018-07-02
CSC,infinity,2015-12-01
CMG,2011-04-27,infinity
AVGO,2014-05-08,infinity
JCP,infinity,2013-12-02
HPH,infinity,1999-06-09
MIL,infinity,2010-07-14
GEV,2024-04-02,infinity
NSM,infinity,2011-09-23
NFLX,2010-12-17,infinity
SWY,infinity,2015-01-27
TYC,2010-08-26,2016-09-06
STE,2019-12-23,infinity
ERIE,2024-09-23,infinity
TWC,infinity,2016-05-18
BIO,2020-06-22,2024-09-23
HP,2010-02-26,2020-05-22
WIN,infinity,2015-04-07
TTWO,2018-03-19,infinity
AA,infinity,2016-11-01
EP,infinity,2012-05-17
TPL,2024-11-26,infinity
TIE,infinity,2012-12-21
JNY,infinity,2009-03-03
ROL,2018-10-01,infinity
KRFT,2012-10-02,2015-07-06
SGP,infinity,2009-11-03
JBHT,2015-07-01,infinity
HFC,2018-06-18,2021-06-04
RSH,infinity,2011-06-30
SII,infinity,2010-08-26
KMX,2010-06-28,infinity
RRC,2007-12-20,2018-06-18
APC,infinity,2019-08-09
CDW,2019-09-23,infinity
UHS,2014-09-20,infinity
TDC,2007-10-01,2017-06-19
KORS,2013-11-13,infinity
AWK,2016-03-04,infinity
MPC,2011-06-30,infinity
DISCA,infinity,2022-04-11
LRCX,2012-06-05,infinity
ATI,infinity,2015-07-02
NCLH,2017-10-13,infinity
MOLX,infinity,2013-12-10
HRL,2009-03-03,infinity
MRO,infinity,2024-11-26
S,infinity,2013-07-08
PTV,infinity,2010-11-17
FMC,2009-08-19,2025-03-24
CHTR,2016-09-08,infinity
BBWI,infinity,2024-10-01
FDS,2021-12-20,infinity
SLR,infinity,2007-10-02
CSGP,2022-09-19,infinity
PCG,2022-10-03,2019-01-18
BMS,2019-06-07,2019-06-11
CPRI,infinity,2020-05-12
OGN,2021-06-03,2023-10-18
SMCI,2024-03-18,infinity
ADT,2012-10-01,2016-05-03
TSS,infinity,2019-09-23
NYX,infinity,2013-11-13
DECK,2024-03-18,infinity
SBL,2000-12-05,2007-01-10
ANSS,2017-06-19,infinity
CRL,2021-05-14,infinity
TWTR,2018-06-07,2022-11-01
NDSN,2022-02-15,infinity
NBR,infinity,2015-03-23
LYB,2012-09-05,infinity
DLTR,2011-12-16,infinity
FSR,1998-12-11,infinity
BRO,2021-09-20,infinity
ATVI,2015-08-28,2023-10-18
HUBB,2023-10-18,infinity
COO,2016-09-22,infinity
SBUX,2000-06-07,infinity
CERN,2010-04-29,2022-06-08
M,infinity,2020-04-06
FTR,infinity,2017-03-20
O,2015-04-07,infinity
MCK,infinity,1994-09-30
JBL,2023-12-18,2014-11-05
DD,2019-06-03,2017-09-01
KMI,2012-05-17,infinity
ARG,2009-09-28,2016-05-23
PCS,2009-06-29,2013-04-30
LVS,2019-10-03,infinity
TER,2020-09-21,2013-12-23
SNDK,infinity,2016-05-13
RCL,2014-12-05,infinity
FRE,infinity,2008-09-12
MEE,2008-06-23,2011-06-01
CPT,2022-04-04,infinity
ODFL,2019-12-09,infinity
PYPL,2015-07-20,infinity
PXD,infinity,2024-05-08
MBC,2022-12-15,2022-12-19
AMG,2014-07-01,2019-12-23
WPX,2011-12-31,2014-03-21
SEE,infinity,2023-12-18
EMC,infinity,2016-09-08
PLL,infinity,2015-08-28
KKR,2024-06-24,infinity
INCY,2017-02-28,infinity
WST,2020-05-22,infinity
MNST,2012-06-29,infinity
CHD,2015-12-29,infinity
LLL,infinity,2019-07-01
ITT,infinity,2011-10-31
TEL,2011-10-14,2009-06-25
AV,infinity,2007-10-26
HRB,infinity,2020-09-21
TMC,infinity,2000-06-12
DLR,2016-05-18,infinity
DISCK,2014-08-06,2022-04-11
FTV,2016-07-05,infinity
SWN,infinity,2017-04-04
PKG,2017-07-26,infinity
MON,infinity,2018-06-07
XYL,2011-10-31,infinity
EK,infinity,2010-12-17
JDSU,2000-07-27,2013-12-23
EQT,2022-10-03,2018-11-13
IDXX,2017-01-05,infinity
ARE,2017-03-20,infinity
MBI,infinity,2009-12-18
AME,2013-09-20,infinity
LII,2024-12-23,infinity
WYN,infinity,2018-05-31
KHC,2015-07-06,infinity
MAT,infinity,2019-06-07
GM,2013-06-06,infinity
BX,2023-09-18,infinity
LUMN,infinity,2023-03-20
ALXN,2012-05-21,2021-07-21
SBAC,2017-09-01,infinity
HAR,infinity,2017-03-16
TSLA,2020-12-21,infinity
CPWR,1998-12-11,2011-12-31
WHR,infinity,2024-03-18
SEDG,2021-12-20,2023-12-18
CELG,infinity,2019-11-21
MOS,2011-09-23,infinity
STZ,2005-07-01,infinity
NOVL,infinity,2011-04-27
WFR,infinity,2011-12-16
JOY,infinity,2015-10-07
T,infinity,2005-11-18
KBH,infinity,2009-12-18
TMUS,2019-07-15,infinity
CCE,infinity,2016-05-31
LDOS,2019-08-09,infinity
DF,infinity,2013-05-23
WRB,2019-12-05,infinity
EVHC,2016-12-02,2018-10-11
FLS,infinity,2021-03-22
HBI,2015-03-23,2021-12-20
HWM,2020-04-01,infinity
DELL,2024-09-23,2013-10-29
MOH,2022-03-02,infinity
BS,infinity,2000-12-05
MRNA,2021-07-21,infinity
SYF,2015-11-18,infinity
ETFC,infinity,2020-10-07
CRM,2008-09-12,infinity
FOX,2019-03-19,2019-03-19
CRWD,2024-06-24,infinity
CEPH,infinity,2011-10-14
IT,2017-04-05,infinity
NLSN,2013-07-08,2022-10-12
DXCM,2020-05-12,infinity
QEP,2010-06-30,2015-07-01
HCBK,infinity,2015-11-02
ODP,infinity,2010-12-17
PANW,2023-06-20,infinity
GENZ,infinity,2011-04-01
MAC,2013-05-08,2019-12-23
VLTO,2023-10-02,infinity
URI,2014-09-20,infinity
AMTM,2024-09-30,2024-12-23
BBBY,infinity,2017-07-26
POM,infinity,2016-03-30
ABK,2000-12-05,2008-06-10
AJG,2016-05-31,infinity
DG,2012-12-03,infinity
ALLE,2013-12-02,infinity
TSO,2007-09-27,infinity
WFM,infinity,2017-08-29
